Date,Time,slev_m
25/03/2019,2:00,2.133
25/03/2019,3:00,2.274
25/03/2019,4:00,2.538
25/03/2019,5:00,2.852
25/03/2019,6:00,3.173
25/03/2019,7:00,3.392
25/03/2019,8:00,3.369
25/03/2019,9:00,3.092
25/03/2019,10:00,2.655
25/03/2019,11:00,2.136
25/03/2019,12:00,1.593
25/03/2019,13:00,1.136
25/03/2019,14:00,0.894
25/03/2019,15:00,0.925
25/03/2019,16:00,1.188
25/03/2019,17:00,1.593
25/03/2019,18:00,2.072
25/03/2019,19:00,2.565
25/03/2019,20:00,2.988
25/03/2019,21:00,3.246
25/03/2019,22:00,3.295
25/03/2019,23:00,3.169
26/03/2019,0:00,2.947
26/03/2019,1:00,2.699
26/03/2019,2:00,2.498
26/03/2019,3:00,2.429
26/03/2019,4:00,2.514
26/03/2019,5:00,2.703
26/03/2019,6:00,2.937
26/03/2019,7:00,3.154
26/03/2019,8:00,3.25
26/03/2019,9:00,3.147
26/03/2019,10:00,2.869
26/03/2019,11:00,2.466
26/03/2019,12:00,1.981
26/03/2019,13:00,1.495
26/03/2019,14:00,1.122
26/03/2019,15:00,0.949
26/03/2019,16:00,1.001
26/03/2019,17:00,1.253
26/03/2019,18:00,1.641
26/03/2019,19:00,2.099
26/03/2019,20:00,2.57
26/03/2019,21:00,2.984
26/03/2019,22:00,3.262
26/03/2019,23:00,3.354
27/03/2019,0:00,3.285
27/03/2019,1:00,3.119
27/03/2019,2:00,2.914
27/03/2019,3:00,2.728
27/03/2019,4:00,2.633
27/03/2019,5:00,2.659
27/03/2019,6:00,2.774
27/03/2019,7:00,2.927
27/03/2019,8:00,3.054
27/03/2019,9:00,3.076
27/03/2019,10:00,2.959
27/03/2019,11:00,2.716
27/03/2019,12:00,2.358
27/03/2019,13:00,1.921
27/03/2019,14:00,1.503
27/03/2019,15:00,1.203
27/03/2019,16:00,1.064
27/03/2019,17:00,1.11
27/03/2019,18:00,1.336
27/03/2019,19:00,1.695
27/03/2019,20:00,2.123
27/03/2019,21:00,2.57
27/03/2019,22:00,2.98
27/03/2019,23:00,3.278
28/03/2019,0:00,3.407
28/03/2019,1:00,3.377
28/03/2019,2:00,3.244
28/03/2019,3:00,3.055
28/03/2019,4:00,2.863
28/03/2019,5:00,2.735
28/03/2019,6:00,2.705
28/03/2019,7:00,2.756
28/03/2019,8:00,2.849
28/03/2019,9:00,2.926
28/03/2019,10:00,2.928
28/03/2019,11:00,2.836
28/03/2019,12:00,2.639
28/03/2019,13:00,2.323
28/03/2019,14:00,1.936
28/03/2019,15:00,1.581
28/03/2019,16:00,1.324
28/03/2019,17:00,1.19
28/03/2019,18:00,1.215
28/03/2019,19:00,1.416
28/03/2019,20:00,1.747
28/03/2019,21:00,2.147
28/03/2019,22:00,2.577
28/03/2019,23:00,2.991
29/03/2019,0:00,3.303
29/03/2019,1:00,3.447
29/03/2019,2:00,3.428
29/03/2019,3:00,3.3
29/03/2019,4:00,3.107
29/03/2019,5:00,2.899
29/03/2019,6:00,2.736
29/03/2019,7:00,2.658
29/03/2019,8:00,2.67
29/03/2019,9:00,2.743
29/03/2019,10:00,2.814
29/03/2019,11:00,2.831
29/03/2019,12:00,2.776
29/03/2019,13:00,2.62
29/03/2019,14:00,2.339
29/03/2019,15:00,1.992
29/03/2019,16:00,1.676
29/03/2019,17:00,1.434
29/03/2019,18:00,1.29
29/03/2019,19:00,1.301
29/03/2019,20:00,1.488
29/03/2019,21:00,1.8
29/03/2019,22:00,2.184
29/03/2019,23:00,2.614
30/03/2019,0:00,3.033
30/03/2019,1:00,3.341
30/03/2019,2:00,3.468
30/03/2019,3:00,3.429
30/03/2019,4:00,3.284
30/03/2019,5:00,3.073
30/03/2019,6:00,2.837
30/03/2019,7:00,2.638
30/03/2019,8:00,2.538
30/03/2019,9:00,2.555
30/03/2019,10:00,2.646
30/03/2019,11:00,2.735
30/03/2019,12:00,2.78
30/03/2019,13:00,2.763
30/03/2019,14:00,2.634
30/03/2019,15:00,2.371
30/03/2019,16:00,2.045
30/03/2019,17:00,1.745
