"","Date","Time","SP","Temp"
"264",2019-04-15,"22:36:00","Cedar",6.5
"265",2019-04-15,"23:36:00","Cedar",10
"266",2019-04-16,"00:36:00","Cedar",9.5
"267",2019-04-16,"01:36:00","Cedar",9.5
"268",2019-04-16,"02:36:00","Cedar",9.5
"269",2019-04-16,"03:36:00","Cedar",9
"270",2019-04-16,"04:36:00","Cedar",9
"271",2019-04-16,"05:36:00","Cedar",9
"272",2019-04-16,"06:36:00","Cedar",9
"273",2019-04-16,"07:36:00","Cedar",9
"274",2019-04-16,"08:36:00","Cedar",9
"275",2019-04-16,"09:36:00","Cedar",9.5
"276",2019-04-16,"10:36:00","Cedar",9.5
"277",2019-04-16,"11:36:00","Cedar",9.5
"278",2019-04-16,"12:36:00","Cedar",9.5
"279",2019-04-16,"13:36:00","Cedar",9.5
"280",2019-04-16,"14:36:00","Cedar",10
"281",2019-04-16,"15:36:00","Cedar",9.5
"282",2019-04-16,"16:36:00","Cedar",9.5
"283",2019-04-16,"17:36:00","Cedar",10
"284",2019-04-16,"18:36:00","Cedar",9.5
"285",2019-04-16,"19:36:00","Cedar",9.5
"286",2019-04-16,"20:36:00","Cedar",9
"287",2019-04-16,"21:36:00","Cedar",8.5
"288",2019-04-16,"22:36:00","Cedar",8.5
"289",2019-04-16,"23:36:00","Cedar",9.5
"290",2019-04-17,"00:36:00","Cedar",9.5
"291",2019-04-17,"01:36:00","Cedar",9
"292",2019-04-17,"02:36:00","Cedar",9
"293",2019-04-17,"03:36:00","Cedar",9
"294",2019-04-17,"04:36:00","Cedar",9
"295",2019-04-17,"05:36:00","Cedar",9
"296",2019-04-17,"06:36:00","Cedar",9
"297",2019-04-17,"07:36:00","Cedar",9
"298",2019-04-17,"08:36:00","Cedar",9
"299",2019-04-17,"09:36:00","Cedar",9.5
"300",2019-04-17,"10:36:00","Cedar",10
"301",2019-04-17,"11:36:00","Cedar",10
"302",2019-04-17,"12:36:00","Cedar",10.5
"303",2019-04-17,"13:36:00","Cedar",10.5
"304",2019-04-17,"14:36:00","Cedar",10.5
"305",2019-04-17,"15:36:00","Cedar",10.5
"306",2019-04-17,"16:36:00","Cedar",11
"307",2019-04-17,"17:36:00","Cedar",10.5
"308",2019-04-17,"18:36:00","Cedar",10.5
"309",2019-04-17,"19:36:00","Cedar",10.5
"310",2019-04-17,"20:36:00","Cedar",10.5
"311",2019-04-17,"21:36:00","Cedar",10
"312",2019-04-17,"22:36:00","Cedar",10
"313",2019-04-17,"23:36:00","Cedar",10
"314",2019-04-18,"00:36:00","Cedar",10.5
"315",2019-04-18,"01:36:00","Cedar",10
"316",2019-04-18,"02:36:00","Cedar",9.5
"317",2019-04-18,"03:36:00","Cedar",9.5
