Date,Stage,Days_diff,SR,SP,OR,OS,Block,ID,L,Th,TW,SW,SG,DIED,OSTRINA,Notes,,,Legend,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG72,27.82,2.94,3.94,2.15,,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,R,CG08,27.37,2.23,3.94,2.14,9,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,Y,CG25,29.31,1.81,3.9,3.01,,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,Y,CG20,28.02,2.59,3.88,2.05,2,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,Y,CG20,27.8,2.69,3.86,2.06,2,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG98,27.84,2.6,3.85,2.11,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,B,CG85,28.99,3.6,3.85,,3,1,0,DEAD,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,Y,CG46,27.42,2.97,3.84,2.11,15,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,Y,CG20,28.06,2.37,3.81,1.96,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG86,27.22,2.91,3.81,,3,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,Y,CG18,27.95,2.53,3.79,2.07,17,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,R,CG59,28.26,2.76,3.78,2,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,O,CG60,27.02,3.09,3.78,,16,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,B,CG29,26.91,2.82,3.77,2.03,34,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,B,CG49,28.06,2.01,3.76,2,,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG86,26.99,2.63,3.74,1.96,4,0,0,DIED IN THE SEATABLE (POST-EXPERIMENT),,,,
