Date/Time,Unit,Value,
2019-03-31, 5:27:00 AM,C,14.5
2019-03-31, 6:27:00 AM,C,14
2019-03-31, 7:27:00 AM,C,14
2019-03-31, 8:27:00 AM,C,14
2019-03-31, 9:27:00 AM,C,12.5
2019-03-31, 10:27:00 AM,C,11
2019-04-01, 11:27:00 AM,C,12
2019-04-01, 12:27:00 PM,C,12.5
2019-04-01, 1:27:00 PM,C,13
2019-04-01, 2:27:00 PM,C,13
2019-04-01, 3:27:00 PM,C,13.5
2019-04-01, 4:27:00 PM,C,13.5
2019-04-01, 5:27:00 PM,C,14.5
2019-04-01, 6:27:00 PM,C,15.5
2019-04-01, 7:27:00 PM,C,16
2019-04-01, 8:27:00 PM,C,14
2019-04-01, 9:27:00 PM,C,13.5
2019-04-01, 10:27:00 PM,C,13.5
2019-04-01, 11:27:00 PM,C,13.5
2019-04-01, 12:27:00 AM,C,13.5
2019-04-01, 1:27:00 AM,C,13
2019-04-01, 2:27:00 AM,C,13.5
2019-04-01, 3:27:00 AM,C,13.5
2019-04-01, 4:27:00 AM,C,13.5
2019-04-01, 5:27:00 AM,C,13
2019-04-01, 6:27:00 AM,C,13
2019-04-01, 7:27:00 AM,C,13
2019-04-01, 8:27:00 AM,C,12.5
2019-04-01, 9:27:00 AM,C,13
2019-04-01, 10:27:00 AM,C,12.5
2019-04-02, 11:27:00 AM,C,10.5
2019-04-02, 12:27:00 PM,C,11.5
2019-04-02, 1:27:00 PM,C,11
2019-04-02, 2:27:00 PM,C,11
2019-04-02, 3:27:00 PM,C,12
2019-04-02, 4:27:00 PM,C,11.5
2019-04-02, 5:27:00 PM,C,12
2019-04-02, 6:27:00 PM,C,14
2019-04-02, 7:27:00 PM,C,15
2019-04-02, 8:27:00 PM,C,16
2019-04-02, 9:27:00 PM,C,12.5
2019-04-02, 10:27:00 PM,C,11.5
2019-04-02, 11:27:00 PM,C,12
2019-04-02, 12:27:00 AM,C,11.5
2019-04-02, 1:27:00 AM,C,11.5
2019-04-02, 2:27:00 AM,C,11.5
2019-04-02, 3:27:00 AM,C,11.5
2019-04-02, 4:27:00 AM,C,11.5
2019-04-02, 5:27:00 AM,C,11.5
2019-04-02, 6:27:00 AM,C,11.5
2019-04-02, 7:27:00 AM,C,11.5
2019-04-02, 8:27:00 AM,C,11.5
2019-04-02, 9:27:00 AM,C,11.5
2019-04-02, 10:27:00 AM,C,11.5
2019-04-03, 11:27:00 AM,C,11.5
2019-04-03, 12:27:00 PM,C,11.5
2019-04-03, 1:27:00 PM,C,11.5
2019-04-03, 2:27:00 PM,C,11.5
2019-04-03, 3:27:00 PM,C,11.5
2019-04-03, 4:27:00 PM,C,11.5
2019-04-03, 5:27:00 PM,C,12
2019-04-03, 6:27:00 PM,C,13
2019-04-03, 7:27:00 PM,C,13.5
2019-04-03, 8:27:00 PM,C,15
