Date/Time,Unit,Value,
2019-05-23, 7:49:00 AM,C,12
2019-05-23, 8:49:00 AM,C,12
2019-05-23, 9:49:00 AM,C,12.5
2019-05-23, 10:49:00 AM,C,13
2019-05-23, 11:49:00 AM,C,14.5
2019-05-23, 12:49:00 PM,C,15.5
2019-05-23, 1:49:00 PM,C,13
2019-05-23, 2:49:00 PM,C,12.5
2019-05-23, 3:49:00 PM,C,12.5
2019-05-23, 4:49:00 PM,C,12.5
2019-05-23, 5:49:00 PM,C,12
2019-05-23, 6:49:00 PM,C,12
2019-05-23, 7:49:00 PM,C,11.5
2019-05-23, 8:49:00 PM,C,11.5
2019-05-23, 9:49:00 PM,C,11.5
2019-05-23, 10:49:00 PM,C,11.5
2019-05-23, 11:49:00 PM,C,11
2019-05-24, 12:49:00 AM,C,11
2019-05-24, 1:49:00 AM,C,11
2019-05-24, 2:49:00 AM,C,10.5
2019-05-24, 3:49:00 AM,C,10
2019-05-24, 4:49:00 AM,C,10
2019-05-24, 5:49:00 AM,C,10
2019-05-24, 6:49:00 AM,C,10
2019-05-24, 7:49:00 AM,C,10
2019-05-24, 8:49:00 AM,C,10
2019-05-24, 9:49:00 AM,C,10.5
2019-05-24, 10:49:00 AM,C,11
2019-05-24, 11:49:00 AM,C,12
2019-05-24, 12:49:00 PM,C,15.5
2019-05-24, 1:49:00 PM,C,13
2019-05-24, 2:49:00 PM,C,12
2019-05-24, 3:49:00 PM,C,11.5
2019-05-24, 4:49:00 PM,C,11
2019-05-24, 5:49:00 PM,C,10.5
2019-05-24, 6:49:00 PM,C,10
2019-05-24, 7:49:00 PM,C,10.5
2019-05-24, 8:49:00 PM,C,10.5
2019-05-24, 9:49:00 PM,C,10.5
2019-05-24, 10:49:00 PM,C,10.5
2019-05-24, 11:49:00 PM,C,10.5
2019-05-25, 12:49:00 AM,C,10.5
2019-05-25, 1:49:00 AM,C,10.5
2019-05-25, 2:49:00 AM,C,10.5
2019-05-25, 3:49:00 AM,C,10
2019-05-25, 4:49:00 AM,C,10
2019-05-25, 5:49:00 AM,C,10
2019-05-25, 6:49:00 AM,C,10
2019-05-25, 7:49:00 AM,C,10
2019-05-25, 8:49:00 AM,C,10.5
2019-05-25, 9:49:00 AM,C,10.5
2019-05-25, 10:49:00 AM,C,10.5
2019-05-25, 11:49:00 AM,C,11
2019-05-25, 12:49:00 PM,C,15.5
2019-05-25, 1:49:00 PM,C,15.5
2019-05-25, 2:49:00 PM,C,13.5
2019-05-25, 3:49:00 PM,C,12.5
2019-05-25, 4:49:00 PM,C,12.5
2019-05-25, 5:49:00 PM,C,12.5
